,cik,sic,sic_description,company_name,ticker
42,0000315849,6022,STATE COMMERCIAL BANKS,SOUTHWEST GEORGIA FINANCIAL CORP,SGB
43,0000316709,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",SCHWAB CHARLES CORP,SCHW
44,0000318300,6022,STATE COMMERCIAL BANKS,PEOPLES BANCORP INC,PEBO
45,0000320387,6022,STATE COMMERCIAL BANKS,FIRST M&F CORP/MS,FMFC
46,0000350852,6022,STATE COMMERCIAL BANKS,COMMUNITY TRUST BANCORP INC /KY/,CTBI
47,0000351077,6021,NATIONAL COMMERCIAL BANKS,"CITIZENS REPUBLIC BANCORP, INC.",
48,0000351569,6022,STATE COMMERCIAL BANKS,Ameris Bancorp,ABCB
49,0000353191,6022,STATE COMMERCIAL BANKS,NORTH VALLEY BANCORP,NOVB
50,0000354647,6022,STATE COMMERCIAL BANKS,CVB FINANCIAL CORP,CVBF
51,0000354869,6021,NATIONAL COMMERCIAL BANKS,FIRSTMERIT CORP /OH/,FMER
52,0000356171,6022,STATE COMMERCIAL BANKS,TRICO BANCSHARES /,TCBK
53,0000357173,6022,STATE COMMERCIAL BANKS,OLD SECOND BANCORP INC,OSBC
54,0000357264,6022,STATE COMMERCIAL BANKS,PACIFIC CAPITAL BANCORP /CA/,PCBC
55,0000357301,6022,STATE COMMERCIAL BANKS,TRUSTCO BANK CORP N Y,TRST
56,0000700564,6021,NATIONAL COMMERCIAL BANKS,FULTON FINANCIAL CORP,FULT
57,0000700733,6021,NATIONAL COMMERCIAL BANKS,NATIONAL PENN BANCSHARES INC,NPBC
58,0000700863,6021,NATIONAL COMMERCIAL BANKS,SUSQUEHANNA BANCSHARES INC,SUSQ
59,0000701347,6022,STATE COMMERCIAL BANKS,CENTRAL PACIFIC FINANCIAL CORP,CPF
60,0000701853,6022,STATE COMMERCIAL BANKS,BANCORPSOUTH INC,
61,0000702325,6021,NATIONAL COMMERCIAL BANKS,FIRST MIDWEST BANCORP INC,FMBI
62,0000702513,6022,STATE COMMERCIAL BANKS,Bank of Commerce Holdings,BOCH
63,0000705432,6022,STATE COMMERCIAL BANKS,SOUTHSIDE BANCSHARES INC,SBSI
64,0000706129,6022,STATE COMMERCIAL BANKS,HORIZON BANCORP INC /IN/,HBNC
65,0000706863,6022,STATE COMMERCIAL BANKS,UNION BANKSHARES INC,UNB
66,0000707179,6021,NATIONAL COMMERCIAL BANKS,OLD NATIONAL BANCORP /IN/,ONB
67,0000707604,6021,NATIONAL COMMERCIAL BANKS,BRITTON & KOONTZ CAPITAL CORP,BKBK
68,0000707605,6021,NATIONAL COMMERCIAL BANKS,AMERISERV FINANCIAL INC /PA/,ASRV
69,0000707855,6021,NATIONAL COMMERCIAL BANKS,PRINCETON NATIONAL BANCORP INC,PNBC
70,0000708781,7389,"SERVICES-BUSINESS SERVICES, NEC",CASS INFORMATION SYSTEMS INC,CASS
71,0000708955,6021,NATIONAL COMMERCIAL BANKS,FIRST FINANCIAL BANCORP /OH/,FFBC
72,0000711669,6022,STATE COMMERCIAL BANKS,COLONY BANKCORP INC,CBAN
73,0000712534,6021,NATIONAL COMMERCIAL BANKS,FIRST MERCHANTS CORP,FRME
74,0000712537,6021,NATIONAL COMMERCIAL BANKS,FIRST COMMONWEALTH FINANCIAL CORP /PA/,FCF
75,0000712771,6022,STATE COMMERCIAL BANKS,"ConnectOne Bancorp, Inc.",
76,0000713095,6021,NATIONAL COMMERCIAL BANKS,FARMERS CAPITAL BANK CORP,FFKT
77,0000713671,6021,NATIONAL COMMERCIAL BANKS,DNB FINANCIAL CORP /PA/,DNBF
78,0000713676,6021,NATIONAL COMMERCIAL BANKS,"PNC FINANCIAL SERVICES GROUP, INC.",PNC
79,0000714310,6021,NATIONAL COMMERCIAL BANKS,VALLEY NATIONAL BANCORP,VLY
80,0000714395,6022,STATE COMMERCIAL BANKS,"GERMAN AMERICAN BANCORP, INC.",GABC
81,0000714530,6022,STATE COMMERCIAL BANKS,NEWBRIDGE BANCORP,NBBC
82,0000714562,6022,STATE COMMERCIAL BANKS,FIRST FINANCIAL CORP /IN/,THFF
83,0000715072,6022,STATE COMMERCIAL BANKS,RENASANT CORP,RNST
84,0000715579,6022,STATE COMMERCIAL BANKS,ACNB CORP,ACNB
85,0000716605,6022,STATE COMMERCIAL BANKS,PENNS WOODS BANCORP INC,PWOD
86,0000717059,6022,STATE COMMERCIAL BANKS,WEST COAST BANCORP /NEW/OR/,WCBO
87,0000717538,6021,NATIONAL COMMERCIAL BANKS,ARROW FINANCIAL CORP,AROW
88,0000717806,6022,STATE COMMERCIAL BANKS,FIRST US BANCSHARES INC,
89,0000719220,6022,STATE COMMERCIAL BANKS,S&T BANCORP INC,STBA
90,0000719739,6022,STATE COMMERCIAL BANKS,SVB FINANCIAL GROUP,SIVB
91,0000720002,6022,STATE COMMERCIAL BANKS,MAINSOURCE FINANCIAL GROUP,MSFG
92,0000720005,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",RAYMOND JAMES FINANCIAL INC,RJF
93,0000720672,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",STIFEL FINANCIAL CORP,SF
94,0000721994,6022,STATE COMMERCIAL BANKS,LAKELAND FINANCIAL CORP,LKFN
95,0000722256,6022,STATE COMMERCIAL BANKS,HUDSON VALLEY HOLDING CORP,
96,0000723188,6021,NATIONAL COMMERCIAL BANKS,"COMMUNITY BANK SYSTEM, INC.",CBU
97,0000723458,6022,STATE COMMERCIAL BANKS,STATE BANCORP INC,STBC
98,0000726517,6022,STATE COMMERCIAL BANKS,MERCHANTS BANCSHARES INC,MBVT
99,0000726601,6022,STATE COMMERCIAL BANKS,CAPITAL CITY BANK GROUP INC,CCBG
100,0000726854,6021,NATIONAL COMMERCIAL BANKS,CITY HOLDING CO,CHCO
101,0000729986,6022,STATE COMMERCIAL BANKS,UNITED BANKSHARES INC/WV,UBSI
102,0000730708,6022,STATE COMMERCIAL BANKS,SEACOAST BANKING CORP OF FLORIDA,SBCF
103,0000731653,6022,STATE COMMERCIAL BANKS,UNITED BANCORP INC /OH/,UBCP
104,0000736772,6022,STATE COMMERCIAL BANKS,CNB FINANCIAL CORP/PA,CCNE
105,0000737210,6022,STATE COMMERCIAL BANKS,LNB BANCORP INC,LNBB
106,0000737468,6022,STATE COMMERCIAL BANKS,WASHINGTON TRUST BANCORP INC,WASH
107,0000740663,6021,NATIONAL COMMERCIAL BANKS,FIRST OF LONG ISLAND CORP,FLIC
108,0000740942,6022,STATE COMMERCIAL BANKS,TOWER BANCORP INC,TOBC
109,0000740971,6021,NATIONAL COMMERCIAL BANKS,OLD POINT FINANCIAL CORP,OPOF
110,0000741516,6021,NATIONAL COMMERCIAL BANKS,AMERICAN NATIONAL BANKSHARES INC.,AMNB
111,0000743367,6022,STATE COMMERCIAL BANKS,BAR HARBOR BANKSHARES,BHB
112,0000744485,6022,STATE COMMERCIAL BANKS,NORTHERN STATES FINANCIAL CORP /DE/,NSFC
113,0000745981,6021,NATIONAL COMMERCIAL BANKS,MIDSOUTH BANCORP INC,MSL
114,0000750556,6021,NATIONAL COMMERCIAL BANKS,SUNTRUST BANKS INC,STI
115,0000750574,6022,STATE COMMERCIAL BANKS,"AUBURN NATIONAL BANCORPORATION, INC",AUBN
116,0000750577,6022,STATE COMMERCIAL BANKS,HANCOCK WHITNEY CORP,
117,0000750686,6021,NATIONAL COMMERCIAL BANKS,CAMDEN NATIONAL CORP,CAC
118,0000754673,6021,NATIONAL COMMERCIAL BANKS,SUFFOLK BANCORP,
119,0000759718,6022,STATE COMMERCIAL BANKS,BERKSHIRE BANCORP INC /DE/,BERK
120,0000760498,6021,NATIONAL COMMERCIAL BANKS,BANCFIRST CORP /OK/,BANF
121,0000763907,6021,NATIONAL COMMERCIAL BANKS,FIRST UNITED CORP/MD/,FUNC
122,0000764038,6022,STATE COMMERCIAL BANKS,SOUTH STATE Corp,
123,0000764402,6022,STATE COMMERCIAL BANKS,"GREEN BANKSHARES, INC.",GRNB
124,0000764811,6021,NATIONAL COMMERCIAL BANKS,CommunityOne Bancorp,
125,0000765207,6021,NATIONAL COMMERCIAL BANKS,"First Bancorp, Inc /ME/",FNLC
126,0000767405,6022,STATE COMMERCIAL BANKS,"SB FINANCIAL GROUP, INC.",
127,0000769207,6022,STATE COMMERCIAL BANKS,FIDELITY BANCORP INC,FSBI
128,0000770460,6022,STATE COMMERCIAL BANKS,PEOPLES FINANCIAL CORP /MS/,PFBX
129,0000775662,6022,STATE COMMERCIAL BANKS,VIST FINANCIAL CORP,VIST
130,0000776901,6022,STATE COMMERCIAL BANKS,INDEPENDENT BANK CORP,INDB
131,0000778972,6022,STATE COMMERCIAL BANKS,FIRSTBANK CORP,FBMI
132,0000783739,6021,NATIONAL COMMERCIAL BANKS,BANCTRUST FINANCIAL GROUP INC,BTFG
133,0000787075,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",FIRST FINANCIAL HOLDINGS INC /DE/,
134,0000790359,6021,NATIONAL COMMERCIAL BANKS,NBT BANCORP INC,NBTB
135,0000796317,6021,NATIONAL COMMERCIAL BANKS,ALLIANCE FINANCIAL CORP /NY/,ALNC
136,0000796534,6021,NATIONAL COMMERCIAL BANKS,NATIONAL BANKSHARES INC,NKSH
137,0000798941,6022,STATE COMMERCIAL BANKS,FIRST CITIZENS BANCSHARES INC /DE/,FCNCA
138,0000801337,6021,NATIONAL COMMERCIAL BANKS,WEBSTER FINANCIAL CORP,WBS
139,0000802681,6022,STATE COMMERCIAL BANKS,BRYN MAWR BANK CORP,BMTC
140,0000803016,6021,NATIONAL COMMERCIAL BANKS,CALIFORNIA FIRST NATIONAL BANCORP,CFNB
141,0000804561,6022,STATE COMMERCIAL BANKS,CENTRAL VIRGINIA BANKSHARES INC,CVBK
142,0000805676,6021,NATIONAL COMMERCIAL BANKS,PARK NATIONAL CORP /OH/,PRK
143,0000806279,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",CODORUS VALLEY BANCORP INC,CVLY
144,0000810689,6022,STATE COMMERCIAL BANKS,BANK OF GRANITE CORP,GRAN
145,0000810958,6022,STATE COMMERCIAL BANKS,CITIZENS & NORTHERN CORP,CZNC
146,0000811589,6022,STATE COMMERCIAL BANKS,FIRST BANCORP /NC/,FBNC
147,0000811808,6022,STATE COMMERCIAL BANKS,SUMMIT FINANCIAL GROUP INC,SMMF
148,0000811831,6022,STATE COMMERCIAL BANKS,NORTHEAST BANCORP /ME/,NBN
149,0000812348,6022,STATE COMMERCIAL BANKS,CENTURY BANCORP INC,CNBKA
150,0000814184,6021,NATIONAL COMMERCIAL BANKS,TCF FINANCIAL CORP,
151,0000821127,6022,STATE COMMERCIAL BANKS,BOSTON PRIVATE FINANCIAL HOLDINGS INC,BPFH
152,0000822662,6022,STATE COMMERCIAL BANKS,FIDELITY SOUTHERN CORP,LION
153,0000824410,6021,NATIONAL COMMERCIAL BANKS,SANDY SPRING BANCORP INC,SASR
154,0000826154,6022,STATE COMMERCIAL BANKS,ORRSTOWN FINANCIAL SERVICES INC,ORRF
155,0000831001,6021,NATIONAL COMMERCIAL BANKS,CITIGROUP INC,C
156,0000832847,6021,NATIONAL COMMERCIAL BANKS,COMMUNITY CAPITAL CORP /SC/,CPBK
157,0000834285,6022,STATE COMMERCIAL BANKS,REPUBLIC FIRST BANCORP INC,FRBK
158,0000835012,6021,NATIONAL COMMERCIAL BANKS,COMMONWEALTH BANKSHARES INC,CWBS
159,0000835324,6022,STATE COMMERCIAL BANKS,"Stock Yards Bancorp, Inc.",SYBT
160,0000840264,6021,NATIONAL COMMERCIAL BANKS,CAPITOL BANCORP LTD,
161,0000840889,6029,"COMMERCIAL BANKS, NEC",DORAL FINANCIAL CORP,
162,0000842518,6021,NATIONAL COMMERCIAL BANKS,EVANS BANCORP INC,EVBN
163,0000846617,6021,NATIONAL COMMERCIAL BANKS,BRIDGE BANCORP INC,BDGE
164,0000846901,6022,STATE COMMERCIAL BANKS,LAKELAND BANCORP INC,LBAI
165,0000854395,6022,STATE COMMERCIAL BANKS,FIRST FINANCIAL SERVICE CORP,FFKY
166,0000854560,6022,STATE COMMERCIAL BANKS,"GREAT SOUTHERN BANCORP, INC.",GSBC
167,0000855574,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",AMERIANA BANCORP,ASBI
168,0000857855,6022,STATE COMMERCIAL BANKS,UNITED COMMUNITY BANKS INC,UCBID
169,0000858800,6021,NATIONAL COMMERCIAL BANKS,EMCLAIRE FINANCIAL CORP,EMCF
170,0000859070,6022,STATE COMMERCIAL BANKS,FIRST COMMUNITY BANKSHARES INC /VA/,FCBC
171,0000859222,6022,STATE COMMERCIAL BANKS,"BAY BANCORP, INC.",
172,0000860413,6022,STATE COMMERCIAL BANKS,FIRST INTERSTATE BANCSYSTEM INC,FIBK
173,0000860519,6021,NATIONAL COMMERCIAL BANKS,SAVANNAH BANCORP INC,SAVB
174,0000861842,6022,STATE COMMERCIAL BANKS,CATHAY GENERAL BANCORP,CATY
175,0000862831,6021,NATIONAL COMMERCIAL BANKS,FINANCIAL INSTITUTIONS INC,FISI
176,0000865911,6022,STATE COMMERCIAL BANKS,CASCADE BANCORP,CACB
177,0000866054,6022,STATE COMMERCIAL BANKS,COMMERCIAL NATIONAL FINANCIAL CORP /PA,CNAF
178,0000867493,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",INDIANA COMMUNITY BANCORP,INCB
179,0000868671,6022,STATE COMMERCIAL BANKS,GLACIER BANCORP INC,GBCI
180,0000872821,6022,STATE COMMERCIAL BANKS,WILMINGTON TRUST CORP,WL
181,0000874495,6021,NATIONAL COMMERCIAL BANKS,JEFFERSONVILLE BANCORP,JFBC
182,0000875357,6021,NATIONAL COMMERCIAL BANKS,BOK FINANCIAL CORP ET AL,BOKF
183,0000879635,6022,STATE COMMERCIAL BANKS,MID PENN BANCORP INC,MPB
184,0000883948,6022,STATE COMMERCIAL BANKS,Union Bankshares Corp,UBSH
185,0000886982,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",GOLDMAN SACHS GROUP INC,GS
186,0000887343,6022,STATE COMMERCIAL BANKS,COLUMBIA BANKING SYSTEM INC,COLB
187,0000887919,6022,STATE COMMERCIAL BANKS,PREMIER FINANCIAL BANCORP INC,PFBI
188,0000889936,6022,STATE COMMERCIAL BANKS,"PRIVATEBANCORP, INC",PVTB
189,0000890066,6022,STATE COMMERCIAL BANKS,GLEN BURNIE BANCORP,GLBZ
190,0000891098,6022,STATE COMMERCIAL BANKS,STERLING BANCSHARES INC,SBIB
191,0000891106,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",STERLING FINANCIAL CORP /WA/,STSA
192,0000893847,6021,NATIONAL COMMERCIAL BANKS,"HAWTHORN BANCSHARES, INC.",HWBK
193,0000894671,6022,STATE COMMERCIAL BANKS,OHIO VALLEY BANC CORP,OVBC
194,0000895421,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",MORGAN STANLEY,MS
195,0000906465,6022,STATE COMMERCIAL BANKS,QCR HOLDINGS INC,QCRH
196,0000908837,6029,"COMMERCIAL BANKS, NEC",NB&T FINANCIAL GROUP INC,NBTF
197,0000910073,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",NEW YORK COMMUNITY BANCORP INC,NYB
198,0000910679,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",WVS FINANCIAL CORP,WVFC
199,0000913341,6022,STATE COMMERCIAL BANKS,C & F FINANCIAL CORP,CFFI
200,0000914138,6021,NATIONAL COMMERCIAL BANKS,MIDDLEBURG FINANCIAL CORP,MBRG
201,0000914374,6022,STATE COMMERCIAL BANKS,SOUTHWEST BANCORP INC,OKSB
202,0000916907,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","SOUTHERN MISSOURI BANCORP, INC.",SMBC
203,0000920112,6022,STATE COMMERCIAL BANKS,HEARTLAND FINANCIAL USA INC,HTLF
204,0000921547,6022,STATE COMMERCIAL BANKS,HERITAGE OAKS BANCORP,HEOP
205,0000921557,6022,STATE COMMERCIAL BANKS,REPUBLIC BANCORP INC /KY/,RBCAA
206,0000921590,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",VALLEY FINANCIAL CORP /VA/,VYFC
207,0000922487,6022,STATE COMMERCIAL BANKS,ROYAL BANCSHARES OF PENNSYLVANIA INC,RBPAA
208,0000926164,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","PROVIDENT COMMUNITY BANCSHARES, INC.",PCBS
209,0000927628,6021,NATIONAL COMMERCIAL BANKS,CAPITAL ONE FINANCIAL CORP,COF
210,0000927807,6021,NATIONAL COMMERCIAL BANKS,INTERVEST BANCSHARES CORP,IBCA
211,0000932781,6022,STATE COMMERCIAL BANKS,FIRST COMMUNITY CORP /SC/,FCCO
212,0000933141,6022,STATE COMMERCIAL BANKS,IBERIABANK CORP,IBKC
213,0000933590,6022,STATE COMMERCIAL BANKS,"Your Community Bankshares, Inc.",CBIN
214,0000934538,6022,STATE COMMERCIAL BANKS,TECHE HOLDING CO,TSH
215,0000934547,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",BANK OF KENTUCKY FINANCIAL CORP,BKYF
216,0000944745,6022,STATE COMMERCIAL BANKS,"CIVISTA BANCSHARES, INC.",
217,0000946090,6022,STATE COMMERCIAL BANKS,CAPITAL TRUST HOLDINGS INC.,FMAR
218,0000946673,6022,STATE COMMERCIAL BANKS,BANNER CORP,BANR
219,0000947559,6021,NATIONAL COMMERCIAL BANKS,FIRST BANCSHARES INC /MS/,FBMS
220,0001005817,6022,STATE COMMERCIAL BANKS,TOMPKINS FINANCIAL CORP,TMP
221,0001007273,6022,STATE COMMERCIAL BANKS,BANK OF SOUTH CAROLINA CORP,BKSC
222,0001011659,6021,NATIONAL COMMERCIAL BANKS,MUFG Americas Holdings Corp,UB
223,0001013272,6022,STATE COMMERCIAL BANKS,NORWOOD FINANCIAL CORP,NWFL
224,0001013796,6022,STATE COMMERCIAL BANKS,TIB FINANCIAL CORP.,TIBB
225,0001015328,6022,STATE COMMERCIAL BANKS,WINTRUST FINANCIAL CORP,WTFC
226,0001017793,6029,"COMMERCIAL BANKS, NEC",SUN BANCORP INC /NJ/,SNBC
227,0001018399,6022,STATE COMMERCIAL BANKS,ENTERPRISE BANCORP INC /MA/,EBTC
228,0001019650,6021,NATIONAL COMMERCIAL BANKS,CENTRUE FINANCIAL CORP,
229,0001023860,6022,STATE COMMERCIAL BANKS,STEWARDSHIP FINANCIAL CORP,SSFN
230,0001025536,6022,STATE COMMERCIAL BANKS,TAYLOR CAPITAL GROUP INC,TAYC
231,0001025835,6022,STATE COMMERCIAL BANKS,ENTERPRISE FINANCIAL SERVICES CORP,EFSC
232,0001027183,6022,STATE COMMERCIAL BANKS,FIRST SOUTH BANCORP INC /VA/,FSBK
233,0001028734,6021,NATIONAL COMMERCIAL BANKS,COBIZ FINANCIAL INC,COBZ
234,0001028918,6022,STATE COMMERCIAL BANKS,PACIFIC PREMIER BANCORP INC,PPBI
235,0001028954,6022,STATE COMMERCIAL BANKS,SB ONE BANCORP,SBBX
236,0001030469,6022,STATE COMMERCIAL BANKS,OFG BANCORP,OFG
237,0001035092,6021,NATIONAL COMMERCIAL BANKS,SHORE BANCSHARES INC,SHBI
238,0001036070,6022,STATE COMMERCIAL BANKS,StellarOne CORP,STEL
239,0001038205,6022,STATE COMMERCIAL BANKS,BANK OF THE OZARKS INC,
240,0001041429,6021,NATIONAL COMMERCIAL BANKS,ANNAPOLIS BANCORP INC,ANNB
241,0001042729,6022,STATE COMMERCIAL BANKS,MERCANTILE BANK CORP,MBWM
242,0001046025,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",HERITAGE FINANCIAL CORP /WA/,HFWA
243,0001046050,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",TIMBERLAND BANCORP INC,TSBK
244,0001046203,6022,STATE COMMERCIAL BANKS,GUARANTY FEDERAL BANCSHARES INC,GFED
245,0001047170,6022,STATE COMMERCIAL BANKS,EASTERN VIRGINIA BANKSHARES INC,EVBS
246,0001049782,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",BROOKLINE BANCORP INC,BRKL
247,0001050441,6022,STATE COMMERCIAL BANKS,EAGLE BANCORP INC,EGBN
248,0001050743,6029,"COMMERCIAL BANKS, NEC",PEAPACK GLADSTONE FINANCIAL CORP,PGC
249,0001051343,6022,STATE COMMERCIAL BANKS,COMMUNITY WEST BANCSHARES /,CWBC
250,0001051741,6021,NATIONAL COMMERCIAL BANKS,FIRST NIAGARA FINANCIAL GROUP INC,FNFG
251,0001053352,6022,STATE COMMERCIAL BANKS,HERITAGE COMMERCE CORP,HTBK
252,0001053584,6022,STATE COMMERCIAL BANKS,MACATAWA BANK CORP,MCBC
253,0001057706,6022,STATE COMMERCIAL BANKS,FIRST BANCORP /PR/,FBP
254,0001058690,6022,STATE COMMERCIAL BANKS,WASHINGTON BANKING CO,WBCO
255,0001058867,6021,NATIONAL COMMERCIAL BANKS,GUARANTY BANCSHARES INC /TX/,GNTY
256,0001060219,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",SALISBURY BANCORP INC,SAL
257,0001060523,6021,NATIONAL COMMERCIAL BANKS,CARDINAL FINANCIAL CORP,CFNL
258,0001066254,6022,STATE COMMERCIAL BANKS,ECB BANCORP INC,ECBE
259,0001068300,6022,STATE COMMERCIAL BANKS,"MetroCorp Bancshares, Inc.",MCBI
260,0001068851,6022,STATE COMMERCIAL BANKS,PROSPERITY BANCSHARES INC,
261,0001069157,6022,STATE COMMERCIAL BANKS,EAST WEST BANCORP INC,EWBC
262,0001070523,6022,STATE COMMERCIAL BANKS,COMMUNITY SHORES BANK CORP,CSHB
263,0001071264,6022,STATE COMMERCIAL BANKS,JACKSONVILLE BANCORP INC /FL/,JAXB
264,0001071992,6022,STATE COMMERCIAL BANKS,CAPITAL BANK CORP,CBKN
265,0001072847,6022,STATE COMMERCIAL BANKS,TOWER FINANCIAL CORP,TOFC
266,0001075706,6022,STATE COMMERCIAL BANKS,CITIZENS HOLDING CO /MS/,CIZN
267,0001076394,6022,STATE COMMERCIAL BANKS,CENTRAL BANCORP INC /MA/,CEBK
268,0001077428,6022,STATE COMMERCIAL BANKS,TEXAS CAPITAL BANCSHARES INC/TX,TCBI
269,0001077771,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",UMPQUA HOLDINGS CORP,UMPQ
270,0001083643,6022,STATE COMMERCIAL BANKS,"FAUQUIER BANKSHARES, INC.",FBSS
271,0001083689,6022,STATE COMMERCIAL BANKS,SOUTHCOAST FINANCIAL CORP,SOCB
272,0001084717,6021,NATIONAL COMMERCIAL BANKS,PACIFIC CONTINENTAL CORP,PCBK
273,0001085706,6022,STATE COMMERCIAL BANKS,"METRO BANCORP, INC.",METR
274,0001087456,6021,NATIONAL COMMERCIAL BANKS,UNITED BANCSHARES INC/OH,UBOH
275,0001090009,6021,NATIONAL COMMERCIAL BANKS,SOUTHERN FIRST BANCSHARES INC,SFST
276,0001093672,6022,STATE COMMERCIAL BANKS,PEOPLES BANCORP OF NORTH CAROLINA INC,PEBK
277,0001094810,6022,STATE COMMERCIAL BANKS,MUTUALFIRST FINANCIAL INC,MFSF
278,0001096654,6021,NATIONAL COMMERCIAL BANKS,OHIO LEGACY CORP,OLCB
279,0001098146,6021,NATIONAL COMMERCIAL BANKS,PATRIOT NATIONAL BANCORP INC,PNBK
280,0001099305,6022,STATE COMMERCIAL BANKS,VIRGINIA COMMERCE BANCORP INC,VCBI
